Title,Price,Shipping,Condition,Date Sold,URL
Lego Brickheadz Herr der Ringe Konvolut - #40751 & #40630 & #40631 & #40632 NEU,"EUR 99,98","+EUR 7,69 Versand",Brandneu,2025-01-06,https://www.ebay.de/itm/375898806399?_skw=LEGO+40632&itmmeta=01JGYP3MAY1SCKQ1CV2VCT47TG&hash=item578550987f%3Ag%3AgUwAAOSwGcdnNLMZ&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKn0kkYSS3aiqOUtsxlezkHkA81RSLS6Yzf8WQIW6LYdeAWxbJV0nASNTKOEk2wO8I9qqwk03wO9p7%2BONwP11W0zUJHkDq0CahWC2OoSh9hE7bMhgl5Qmr75t31KD6G%2BM8Caz6KPWv1qZq3DSShwyHr9qmVBXCXFTKRCEHwazmwkNbMxSSWBzHxe%2F%2BymqTb2%2Btl4AHhimk966SQJd2DB310QE9WtXd8s8cM7n2IiVA0iuuNXiORjw9S3ypClFUWBzw4bjmIp6OVwgrzAOGQOY7be9kzJfgSpnenhWjlCX%2BcVjw%3D%3D%7Ctkp%3ABk9SR9DFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
"LEGO® BrickHeadz (40632): Aragorn™ und Arwen™ - selten, exklusiv **NEU & OVP**","EUR 27,99","+EUR 5,49 Versand",Brandneu,2025-01-06,https://www.ebay.de/itm/155350356143?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYP3MAY0CPAE5VF6DE06JPJ&hash=item242b9a50af%3Ag%3ApJ8AAOSwN6ljvHvz&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKlR%2BngIyzad6noa5A%2ByKnCJ41BI%2BG3ym9YA4qkGFX%2BqKcUcuo%2BhLUCBgnBDkJEHvivDR1IwY6Tws03Tk4%2FgOrU6tyLYzkC1Kc2thlpQplEXBtstC9qSBhHTsomJc%2BNX3rZ8wxHrVajaOBiDYKSfoqZ1K1fjDTnlD2zfwXN4foAfIQt3cH%2FZmLgxjPdfWKyTeYCuxdMzxSO2zuHWLQnG7SnQfuMgO05VHbii%2FHOiRbP8FuHk5ZzUGhCq23kNnU0ERsE%3D%7Ctkp%3ABk9SR9DFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® 40632 - Aragorn und Arwen + NEU & OVP Brickheadz Herr Der Ringe Lord Of,"EUR 29,39",Kostenloser Versand,Brandneu,2025-01-05,https://www.ebay.de/itm/395847533048?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYP3MAYWDVCQGZ6NV8ENDMY&hash=item5c2a5a01f8%3Ag%3A4A4AAOSwIExnLRad&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnk4PapItj%2FernlTY8tZ3HE%2FGHRpSoO1ebXu5tIRJY5ZDf7pOaHwUSCyuzUdHrYkvru%2FIoDLacgCFAmtgwkZZRsAZYh7md1jOPpegex1qEbL7CaE367PWlleQXP%2BaOR4t6tVrQBQL96GLUb7q3ptpQUkxvMEykRVpunbOMpxaB3vhObyOP2cCPFyi1DmlU6Efynnw%2FQZqgk8PaV1fpdsITsPv6Hy3pOnf4Po4W6ooikYaBUPnBYpcI21EuAGkoEktw%3D%7Ctkp%3ABk9SR9LFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO 40632 BrickHeadz Aragorn und Arwen 261 Teile OVP NEU Herr der Ringe LOTR,"EUR 29,99",Kostenloser Versand,Brandneu,2025-01-05,https://www.ebay.de/itm/316064295795?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYP3MAYARWWNJY3HV13DS1Y&hash=item4996e66b73%3Ag%3AS3YAAOSw2DZnZMT9&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnjJlGaQaSJXIao4LEu8BBxo1%2FdJQVW6VgYc5MqTixO9VQEKQy5PGyKQ3W2Tb56dKMo2clKXu2KziIs4Rmx5rtJ7u2Ee5t%2Br7iy4zqcnb9HZsPT3sVemlrvrC0ES3mQEIWyRL8AbI8EPz5BaXxHg9VW6LpvK6pJDVXSZ77FgT8ln%2BNJExo2lwgZPraKT3nN3iA43MBPJF9OKUPl4e8xA6raGagRIpgGLg64SaqkNcdoO%2B5Q3nTzp6NNPn808ePcvbE%3D%7Ctkp%3ABk9SR9LFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BrickHeadz 40632 Aragorn und Arwen LOTR HDR Herr der Ringe,"EUR 29,90",Kostenloser Versand,Brandneu,2025-01-04,https://www.ebay.de/itm/135450537401?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYP3MAZ37G89EPNJJ6ZQ2Q8&hash=item1f897b2db9%3Ag%3AwF0AAOSwepdnYymH&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKll6NC%2FQpCptYtkrP2ntmvxy%2BDyOXOQbBrb%2FibtAlt9eLLeiD7Xjn%2FR3cr%2FfrQ2rCbQ2u3SSwAA5%2FBqo41n4erWUCYXpE5ckaXNgR1wf%2Fnx8Fe0lrXzCoLkNrHplkURaukVKIbOIkA%2B09pHHXTwL4GkSDAXlyBdMRpr9mt2fiXbvME1TxFGE2jjcl8DX56d3goFNjJuob9qxTWxauvfVCXgQ9Kq%2F9i%2BkjFnlp7afFfCY65bNLyhtdekEtuG39faCzY%3D%7Ctkp%3ABk9SR9LFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
✅ LEGO BrickHeadz Herr der Ringe 40632 Aragorn und Arwen Nr. 187 188 NEU OVP ✅,"EUR 28,44",Kostenloser Versand,Brandneu,2025-01-03,https://www.ebay.de/itm/404095358216?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYP3MAZKX133PG3YQ4SZXKM&hash=item5e15f5d508%3Ag%3Aw-sAAOSwL1ljuYNF&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmPMI2qxYA0BqJTXSlluSVd6PaBTPNPrzqLAdHebH7UYR4FMzHWyDe0L1sSLKhiHnvEny%2BZdiHnJRGXWUACZrtFUFe%2FU0eMMoBg6ruYV3JLTHEKFP2lqZCG%2Fnj3SwBBPYr25zpgpxu5E6NuVajxtfKs8MMNbDjZY%2FTQTofbaLWJ4RsVYRYUTtTEI14BkJDEmZQ2axJmV4bbhTM9EkaXEDP0wFoBJm5qW3x5PYgsHv5cuuqXB4RzjJUg6xhGWGXyvJ4%3D%7Ctkp%3ABk9SR9TFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
"LEGO BRICKHEADZ: Aragorn & Arwen (40632), nagelneu versiegelt","EUR 33,73","+ ca. EUR 12,99 Versand",Brandneu,2025-01-03,https://www.ebay.de/itm/276790908198?_skw=LEGO+40632&epid=10058424886&itmmeta=01JGYP3MAZCP6CC3T1FZD3EQ9P&hash=item4072061526%3Ag%3A-awAAOSw7h9nat3Q&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmlSe1hQR2cuGpDpdvjNWryTL6IsYTXDEQlh4RaHDjH4XT4YCj05Q%2FJIy1KMf%2BQzmvQgJBIkxje4Ive16mF8WmwTlXKf8r9N3vU6QpobJ9WCunBpGypklqm3lOLPk4C2oagTI3umHYVCc5VlbWdsl9WFzFaj5eSixA8FRhIqvpbjXfo3wHGdJumMvQe9X5kCuo3mkmd2O%2Fa0Av2E5xWT69gUj6o7QqqjrPrSJZdsdxrlk4mELGWI6rhlJyKiN%2Fn%2Bhhgt%2F%2BcxsG1d3Vbo6BSH0bILzCC5jzA9TCisui49S65kw%3D%3D%7Ctkp%3ABk9SR9TFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BrickHeadz 40632 Aragorn und Arwen  The Lord of the Rings™ NEU & OVP,"EUR 39,99",Kostenloser Versand,Brandneu,2025-01-03,https://www.ebay.de/itm/314452352830?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYP3MAZZMTXQ51EWPJG66H6&hash=item4936d21f3e%3Ag%3AXaYAAOSw1FlkCFTw&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkV%2F3r2MZNVOoSgIvmmBnSJunmmKqp%2BNnAL3wvH0jX8LvEyF%2BEsQfiR9vk9svyfF4tlA429%2Fc6FyBt0c90%2F9WTXNWSYwxr7FNMSxIEM0XFpraZNCBZoZC9heqsmI%2FdFlDf3%2BcYgEuP7SSrYJUGDBArdvOagTYlBqgiaEjVBr7hOp1HPBMXufOHnjsxQPe2EhcWi8IiLhvwSc0XXMJofNI5T%2FjwHqgZ4BT8Ca%2FxaspVV%2BafERxFMWk%2FXbLbS9hil5jU%3D%7Ctkp%3ABk9SR9TFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO Brickheadz LotR- 40630 40631 40632  - Gandalf Frodo Aragon - NEW NEU,"EUR 99,99",Kostenloser Versand,Brandneu,2025-12-30,https://www.ebay.de/itm/306000140557?_skw=LEGO+40632&epid=28061737044&itmmeta=01JGYP3MAZ7KW1M9ZDQ7SXDV42&hash=item473f07990d%3Ag%3Adx0AAOSwOlpnbT8p&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmpWu3YVcfvhRNoy80iaUwYSk6YryMjMffC6L2BT6JVGVcNLWehlUrdcxmULy92oBEfCtUg%2BzjC6Rel3IARJC3WPOEvNCD4HyQVIh0fnhNN7O5DnpFeK%2B0865uc1s7vN4Skr9LX7x5lLK8qAQgvdQLWfjjLxocSMFJC6SMO7ZhSYdyp8CZOvZ2E%2F5Se2tS1T28nqx4wcBXgEsCkYEW8AckjX%2BAdRPb1UTYJS1%2Bt47DPcQM%2Ff0GbQ764bc6JJAUvrLQ%3D%7Ctkp%3ABk9SR9jFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BRICKHEADZ 40632 Herr der Ringe: Aragorn und Arwen ⭐NEU ⭐OVP | 261 Teile,"EUR 29,99",Kostenloser Versand,Brandneu,2025-12-30,https://www.ebay.de/itm/356111042554?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYP3MB0ZKF78BPMSZPCH3Q4&hash=item52e9df47fa%3Ag%3AWQcAAOSwvOFm%7EekB&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnvMqgGl8cZzMRaU1WN0mPONVT8dOyQkbZyD2WSVRUydYtnFveC23Sd18sVAXKJxZmmspesOkfTUXsqv5oPs33zvsb0yK%2BJw4AAc8fmF3NC8gkPNr5JbsSSvZAh%2BJ6O47FGiAv%2BqRDizufSdO%2F%2Bcy6o0Zzv3y2WFtkIJCj2BhkhifjjD%2Bn4C7mjMdZpu%2FExpPbXWJjlAD%2BpVrjmWrh6ru%2Bg883NwnwmHCqfChZWPMpfKlzdCvEV2lP4UCe%2FVcu6fzrInFGbwji0UkkCbLXkTlUSaYsj9WH57y0LNhSN%2FT%2BdJw%3D%3D%7Ctkp%3ABk9SR9jFjtaHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
