Title,Price,Shipping,Condition,Date Sold,URL
LEGO® 40632 - Aragorn und Arwen + NEU & OVP +,"EUR 39,95",Kostenloser Versand,Brandneu,N/A,https://www.ebay.de/itm/266164889630?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYNY9E1XB99SCTFJ1F3QC0H&hash=item3df8a9e81e%3Ag%3AqIAAAOSwRX9kCeGV&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmXysgpzX41Tumi6MFqUrcskDsppW9c4D6qdAjBTcdcIKohNMt3MCf4eZZmCtyZ6%2BDg0sdNIu3ynQG3npe1oG%2F67hg36kAY3YKKnNHmWmuFs0HViqvYy4rM0VjdDz6OlrqsmgSwKon1Wn%2F3QapHSVsJoKprFeo%2BfcBty7Oc%2Br3NqY7JBYyNKanTRQrSZzOTJ4pMw76uqYvovdcZPNoovnvwSbnc2Gtho9eU4dDdgtGR5ZPLdkU6EP%2FzyiOgH5Ihjlg%3D%7Ctkp%3ABk9SR6CX-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO BRICKHEADZ: Aragorn & Arwen Set 40632 Herr der Ringe Neu & Versiegelt,"EUR 45,85","+EUR 35,85 Versand",Brandneu,N/A,https://www.ebay.de/itm/156447302729?_skw=LEGO+40632&epid=10058424886&itmmeta=01JGYNY9E1XNQS28979GKN0554&hash=item246cfc6449%3Ag%3Am5YAAOSw0sRkgci4&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKneBcDnoI2d1QeMbrr9Lo2Zrf76ZfGUya9vn88kWqI4tvtvUTbLA0MOWE%2BPIqsjEOKrBRy47e7uiXHdLl%2FR8PaXLMDYV1egl7Nx%2FVEb1GHc2zHX3oXdFJ6cMc%2BDdPnSHj%2FVTpxh6iNLSKIWqy9KZ2ro6qk53orVgXRM7AUzuTzAZHJHVNvZvLQLLpG%2BlQ40J7OLgYUNbR%2FgdxYKPSMpNzPx%2Be1TrtILDwpa8vOlc6aSYMZVJDBCPMGwPqBtOlJPF0I%3D%7Ctkp%3ABk9SR6CX-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® BrickHeadz Herr der Ringe - Arwen + Aragorn 40632 - NEU&OVP,"EUR 10,50","+EUR 5,99 Versand",Brandneu,N/A,https://www.ebay.de/itm/135443881679?_skw=LEGO+40632&itmmeta=01JGYNYAAX59324MB75QG7QQWE&hash=item1f89159ecf%3Ag%3AmLIAAOSwERFnXuh6&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnObA%2BkPr8OI0xoW%2BnT7OTH3cs1NsvQ78lOtsA7c50owyo8gWJHzqYLbdj2Tu2cjD7MhGwLQn%2B0ggj%2F2456HciM8hkvsOffBa7Ckr2MfHTKO7IiwecDVlDHG7kAojMrmrk36fbhRIKQ4a3BZFmNMcUMFwhv7jJKvucmP%2BjUJPhEt94pDnggeBfQRaQYwByO4%2BaMzXYSia2MpjjerZYQlxKwld88NjV9hWdUplMrzUEO5ZHbAhisOqOddeHgvI9PFdOvbJCbeWpBCqJ0Re2lsls6qa9uX2wyvbdFR1J9vhZvgQ%3D%3D%7Ctkp%3ABk9SR9Kl-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® 40632 - Aragorn und Arwen + NEU & OVP +,"EUR 20,50",Kostenloser Versand,Brandneu,N/A,https://www.ebay.de/itm/267085228601?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYNYAAZ42964V3ZJMX8QWEP&hash=item3e2f852a39%3Ag%3AXtMAAOSw6zJnTqxr&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKmzN26ljeWV8s1P8%2BTSN5ufs46gypwX3znSj1XBrMOca9uYN1cyQntCotxtGAJFsAPlXHfz360OjDJRTHc%2FkvMH2iIL4ppweKMer6awFEkedbWCdXvLJVKh%2FLJTX6I9ZciwRqSHAUH9RNtKOkIVgN6oeufluai3YdlJvRta2UgXW2%2Fib2Cr5gCohLwzjOJ6pgECuPMvHiFLf3nyIPye0jJlcFgPTuNKbCIbW%2FydqJUCOE%2BASssfqp74F%2Fk5BZHkaPs%3D%7Ctkp%3ABk9SR9al-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
"LEGO 40632 BrickHeadz Lord of the ring, neuf scéllé","EUR 39,00","+EUR 25,00 Versand",Brandneu,N/A,https://www.ebay.de/itm/365236176707?_skw=LEGO+40632&itmmeta=01JGYNYAAZAS03KV2M5B2ME55X&hash=item5509c5c743%3Ag%3AyUsAAOSwWLRnOe%7Ey&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnct%2FwSWXcr755miT6ycYm9w9xO5fAq3i332md0U3xb1NUFcKFKEwwkGFi%2FYxYWCyIKr6Vi6B0m%2FZe7vfHq3JUNcv0j3zSn%2FCAh4n2HaYPBV4YHZF%2FUEifTRnvCQqv1QZ3KzxiB%2BwLt3Ptpfk9vlWv2r03u776%2FblK7ofXhS9RO%2FyUZVGQpswDLhqvTnYUUA%2BCeA1Pg7IcikhTcSdjwD6WFTDvKEGjeZdlvNdw%2FS5CjCEd7XJn8UdPE9JcOZNkeembu26%2F%2B1HRFu3kZ34qUZ1cOnu54qTuCcUYV6DXdLNhv8g%3D%3D%7Ctkp%3ABk9SR9al-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO BRICKHEADZ: Aragorn & Arwen (40632) - Neu in OVP - Kostenloser Versand,"EUR 34,89","+ ca. EUR 13,03 Versand",Brandneu,N/A,https://www.ebay.de/itm/335715963046?_skw=LEGO+40632&epid=10058424886&itmmeta=01JGYNYBCF4K3BD7N59T9AGCY8&hash=item4e2a3b10a6%3Ag%3ANHsAAOSwZuVjxvs8&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmdgNX6wjpP%2FNrg%2Fkt1daykaw0HfScqXLZcOkKov4LxeGmKSylgrvig2u%2BYIU6vQ6dJ44JgG26NOaoePFaX1%2B6b0Tj1aefgwAkVnCfjM354pOn3To4LcjgHbRvukeMN7tF5pG1E79cZHEoFLAbaxGZes%2FYDNnkqAAXc899nSdnS6%2FQ8ek1GYXI%2BBwbMdzrWG6yFteUmV3QSeW8OnU%2BqeiVz0IqIHZNA0bhQwfYQTFZbXVhKhE2w9az92dl2V3AFP%2F%2BT%2ByaOLJyXWRDW0jgYHSD1RZ%2Fdj0RJ3%2Fz0CsW1gfQS%2BA%3D%3D%7Ctkp%3ABk9SR8C2-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
Original LEGO® BrickHeadZ 40632 - Aragorn™ y Arwen™,"EUR 39,99","+EUR 9,00 Versand",Brandneu,N/A,https://www.ebay.de/itm/325888862318?_skw=LEGO+40632&epid=2334876647&itmmeta=01JGYNYBCGBAXX3P9G3XPDNXBT&hash=item4be07d686e%3Ag%3Ae2UAAOSwQs9lVfNq&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmCSZNDXh03bVRrtYHJj4gg%2F9thVPUKAwta0F%2F8MYtK6m%2Fu%2BVvm9%2BZjmD3kjW7ERoTc2s7iQd4bUu6pynJc5FMKcF2kMKql1mm4uzvrIwPa7Bz9UM%2Brd2NvsyinfscTTc5RwzE0t9mMG2YkJ0Rm%2FkdwlMknE0gEFslXBv08TH1onxvUU9RvO%2FAmDcUkcoXX7qImlQv2WpZh5aQvUIwNyco3l1pc8lukOB7FneIb4iagKbCd5jSjOgvmQnWKrMb0C8sReFE6zN1%2BduCfMjzWxzzRVjdUv4d4rA1MgP5b2H6FWA%3D%3D%7Ctkp%3ABk9SR8K2-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO BRICKHEADZ 40632 ARAGORN E ARWEN SIGILLATO,"EUR 25,99","+EUR 20,00 Versand",Brandneu,N/A,https://www.ebay.de/itm/405337148119?_skw=LEGO+40632&itmmeta=01JGYNYBCG4B3V7K2VZKC6ZAAS&hash=item5e5ffa0ad7%3Ag%3ATN8AAOSwP1BnLfgm&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnHn9QJcDXGFBlK9Al6umQYRDDny8vxbhrEI7trhExvH%2BRIad%2FYYK3j8gkBuU5nj2uOwXnUFpX7EfqC3%2Ft%2FDBZOnzAxWCQoEdnbQHKInEYbV7%2B1UkfiCxM2Gx1QwqCH26LTj2L6rEyl7jnoKSlkNYQQtqZeuZTDCGqwOf189UQ9ePPn5fbUGW3FcZ5HdggPBgP2t%2FI3STARdLp1iBnGKLntukNj8W1AZOgtZXhuf4MPW8ItQ2EZSWYdyBAqNl5n%2BcEPRsLCTLc4zyvZqHYhfkNd6XKcNeCPiVeZnRCcnw95Gw%3D%3D%7Ctkp%3ABk9SR8K2-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO® 40632 - Aragorn und Arwen + NEU & OVP,"EUR 12,50","+EUR 5,00 Versand",Brandneu,N/A,https://www.ebay.de/itm/205121977673?_skw=LEGO+40632&epid=16058340034&itmmeta=01JGYNYBCHKS3ABSYGHXTNW0GC&hash=item2fc238fd49%3Ag%3A8BkAAOSwzORnQNrI&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlNL4FJGMAChwXeFdhiDbRaLk%2F1SDaVAt%2BMYXVuuEC5wOzfbH5he%2BXt8oBBQ8row%2FcSAXpXNQGg%2F1XkEYOps6v14ohnJDGfkjQ5fJomQPS9ZcFmrANiOdBKPbDTa73BuG3s7li041BoVbeHrIbk%2BajyoyqcsCxHzuX53admlxYuww8ih9U7%2FhRRMjqrcsTOjGRVSZWK8Gz8Kw4wBHRR4BwzAA9MMeY02dSSHj4EgNrmeBnXGm%2BFmQhLGWrNZRJRxFh%2BwO72MdpCo8XTZj0%2Fp63Y%7Ctkp%3ABk9SR8S2-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
LEGO Brickheadz: Aragorn und Arwen (40632) Herr der Ringe ROYAL MAIL TRACKED,"EUR 36,14","+ ca. EUR 13,06 Versand",Brandneu,N/A,https://www.ebay.de/itm/395890718462?_skw=LEGO+40632&epid=10058424886&itmmeta=01JGYNYBCHDJTSHJBXD4BX45T9&hash=item5c2cecf6fe%3Ag%3AT7YAAOSwS4dnMdkO&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnQVsXZi8kQnkaytDFC10FTM4C9uMRucYtmYJEC%2BEPZ8fBjNq2QmhaVwaYKFufLHUgYC18rrXxuhtY%2BQ%2Fh%2FEU3KCHpXIkzEJt295lNeuIOZOoZuQmwT%2FmNFkHnP%2FOgBDYt8ymb8RfudmTZNgE2tl%2BhgqUUB9am3nGiFH8kVwFjKf8byoanRwpw9OE%2BpSm170xEmHMW2R7IVIEVpS6x6UFQkeW%2FBCK3Oua%2B168B1X8gdTezMcE83cQmSGlb7KRRnKqMYc2pZLmfOtq%2FcP7pZEbXq%7Ctkp%3ABk9SR8S2-dWHZQ&LH_ItemCondition=1000%7C1500%7C2000%7C2500%7C3000
